category,dimension,mean,ci
men,power,0.0560273886989421,0.024153668862493278
women,power,0.16365570471184143,0.023642840651016968
men,agency,-0.007483599419551585,0.027317470940030092
women,agency,0.03469312201402531,0.02584337052564723
men,sentiment,0.004413890555028819,0.024682721368534367
women,sentiment,-0.06554878307932172,0.025199911542451887
men,valence,0.0875678902714651,0.10665181888281368
women,valence,0.10393177822789038,0.10254072310732337
men,arousal,0.08662380440111285,0.10520328045091493
women,arousal,0.10442407044026253,0.09031591639122157
men,dominance,0.09301699588081284,0.1105293877825311
women,dominance,0.12871756413434673,0.09802686490239688
